ላይ ; [10813, 10813, 1045, 100]
አመመኝ ; [26, 26]
ከማን ; [442, 111]
ጋር ; [4356, 53]
ምሳ ; [18, 18, 14]
በላ ; [10430, 123, 123]
አንበሳው ; [53, 3, 3, 3, 3]
ተንጠራራ ; [1, 1, 1, 1]
እንደሰጣት ; [570, 570, 1, 1]
ዝጋ ; [62, 62, 1, 1]
ካሳ ; [123, 11, 11, 7]
ባስፈራራውም ; [108, 108, 108, 108]
መጣሱን ; [11]
ይደረግ ; [1]
መቼስ ; [389, 31]
ውስጥ ; [4750, 4750]
አስተማሪ ; [36, 13]
ነበር ; [4133, 3769]
ወጣት ; [979, 805]
ብዙ ; [779, 779, 228]
ሥራው ; [2107, 899]
ተሠራ ; [899, 899, 899, 899, 3, 3, 1]
ድርስ ; [15, 1]
ግድ ; [71, 71]
የለኝም ; [1849, 1849]
በመሮጤ ; [26]
እግሬን ; [277, 10]
አላማ ; [69, 63, 63, 63, 63, 52, 52, 52, 52, 52, 52, 26, 7, 7]
ጥሩ ; [160, 100, 4]
ራባቸውን ; [119, 12]
ይምጣ ; [1280, 1280, 1]
አይምጣ ; [1280, 1280, 1]
አላውቅም ; [1643, 1643]
ጊዜ ; [5001]
እንደነበር ; [227, 2]
አባትና ; [448, 448, 20, 20, 20, 20, 20, 20, 20, 2, 2]
ካሳና ; [123, 7]
ሀይሉ ; [1259, 1]
ተወራወሩ ; [46, 46]
ቀረን ; [594, 594, 594, 1]
ዛፉን ; [189, 1]
እዚህ ; [14266, 1]
አገር ; [1319, 1, 1]
የትም ; [394, 53]
አይደሰቱ ; [1]
ነዎት ; [1, 1]
ልብስ ; [327, 166, 96, 20]
ብዬ ; [10430, 4]
ገበያ ; [585, 5]
አልሄድም ; [1644, 1644]
ባልሠራ ; [899, 899, 899, 899]
ተማሪዎቹ ; [549]
ሥራ ; [2107, 899, 899]
ከበቀለ ; [35, 35, 1]
የአልማዝ ; [47]
አልመጣንም ; [1280, 1280]
ባልዘነበ ; [32, 32]
ተከሳሹ ; [55]
አይደለሁም ; [1, 1]
አለ ; [10430, 10430, 1849, 1849]
ከበደ ; [132, 1]
ሁለቱን ; [1001, 1001]
ገባ ; [959, 959, 1]
እግዚአብሔርን ; [190]
እውነት ; [96, 2]
የሚጫወተው ; [1, 1]
ከሀብታም ; [47, 47]
